tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
True	5~35	off	none	2022bear	False	True	14318	246	12	-0.3607	-0.2241	-0.1365	-0.1568	-0.0854	-2.5905	0.0251	0.1667	-4.4769	-11.8276	-1.7331	-22.3744	7.1717	35.1382	0.0452	0.7665	0.0000	0.0001	
True	5~35	off	none	2024blackmon	False	False	17196	245	13	-0.2023	-0.1377	-0.0647	-0.0766	-0.0448	-1.6992	0.1150	0.3077	-4.3619	-10.9091	-1.8303	-15.1083	6.4246	39.2240	0.0477	0.8028	0.0000	0.0000	
True	5~35	off	none	2026now	False	False	13125	145	9	-0.0512	-0.1371	0.0859	-0.0856	-0.0192	-0.2781	0.7880	0.4444	-4.4944	-10.6646	-1.8824	-12.0205	5.1288	49.1339	0.0423	0.8661	0.0000	0.0001	
True	5~35	off	none	all4	False	False	68966	884	46	-0.1529	-0.1294	-0.0234	-0.1012	-0.0475	-2.4232	0.0195	0.3043	-4.3478	-10.6091	-1.7810		6.2324		0.0472	0.8194	0.0000		
True	5~35	off	2.5	2020covid	False	False	24327	248	12	-0.0911	-0.0571	-0.0339	-0.0396	-0.0298	-3.2725	0.0074	0.0833	-3.2178	-4.8450	-1.7324	-6.3159	1.3215	190.6932	0.0987	0.3459	0.6541	0.0000	
True	5~35	off	2.5	2022bear	False	True	14318	246	12	-0.1192	-0.0870	-0.0322	-0.0373	-0.0292	-2.5142	0.0288	0.2500	-3.2343	-4.9324	-1.7331	-7.9263	1.4450	174.3988	0.1031	0.3373	0.6623	0.0000	
True	5~35	off	2.5	2024blackmon	False	False	17196	245	13	-0.1104	-0.0782	-0.0322	-0.0301	-0.0141	-1.5952	0.1367	0.2308	-3.3132	-5.0327	-1.8303	-8.2310	1.3439	187.5116	0.1005	0.3275	0.6700	0.0000	
True	5~35	off	2.5	2026now	False	False	13125	145	9	-0.0681	-0.0827	0.0146	-0.0034	0.0080	0.5229	0.6152	0.5556	-3.5994	-5.9508	-1.8824	-4.1486	1.2018	209.6805	0.0918	0.3164	0.6819	0.0000	
True	5~35	off	2.5	all4	False	False	68966	884	46	-0.0974	-0.0755	-0.0219	-0.0292	-0.0178	-3.1220	0.0031	0.2609	-3.3101	-5.0926	-1.7810		1.3299		0.0986	0.3339	0.6651		
True	5~35	off	6	2020covid	False	False	24327	248	12	-0.0946	-0.0484	-0.0463	-0.0645	-0.0458	-2.0585	0.0640	0.2500	-4.1860	-6.9485	-1.7324	-7.8416	2.3130	108.9482	0.0634	0.6118	0.3864	0.0000	
True	5~35	off	6	2022bear	False	True	14318	246	12	-0.1847	-0.1386	-0.0461	-0.0551	-0.0306	-1.4237	0.1823	0.4167	-4.4769	-7.1525	-1.7331	-12.0036	2.5538	98.6746	0.0658	0.5780	0.4181	0.0000	
True	5~35	off	6	2024blackmon	False	False	17196	245	13	-0.1365	-0.1087	-0.0278	-0.0321	-0.0085	-0.5444	0.5961	0.3846	-4.3619	-7.0840	-1.8303	-10.5201	2.2420	112.3980	0.0642	0.5912	0.4043	0.0000	
True	5~35	off	6	2026now	False	False	13125	145	9	-0.0583	-0.1029	0.0447	-0.0399	-0.0202	-0.6878	0.5110	0.4444	-4.4944	-7.5292	-1.8824	-5.7614	1.7429	144.5902	0.0585	0.5918	0.4065	0.0000	
True	5~35	off	6	all4	False	False	68966	884	46	-0.1169	-0.0992	-0.0177	-0.0481	-0.0263	-2.4632	0.0177	0.3696	-4.3478	-7.1146	-1.7810		2.2368		0.0631	0.5959	0.4013		
True	5~35	on	none	2020covid	False	False	13405	247	12	-0.0412	-0.0229	-0.0183	-0.0942	-0.0350	-0.7492	0.4695	0.3333	-4.0625	-9.6503	-1.6807	-10.9709	6.2672	40.2093	0.0506	0.8325	0.0000	0.0000	
True	5~35	on	none	2022bear	False	True	5319	246	12	-0.3090	-0.2241	-0.0849	-0.1295	-0.0498	-0.7762	0.4540	0.4167	-4.1667	-11.2082	-1.6134	-20.6796	7.2506	34.7557	0.0450	0.7676	0.0000	0.0000	
True	5~35	on	none	2024blackmon	False	False	8905	245	13	-0.1297	-0.1377	0.0080	0.0129	0.0551	1.5180	0.1549	0.6923	-4.1339	-10.3214	-1.6949	-9.8040	6.6574	37.8527	0.0496	0.7978	0.0000	0.0000	
True	5~35	on	none	2026now	False	False	9140	144	9	0.0313	-0.1371	0.1684	-0.0674	0.0616	0.6794	0.5161	0.6667	-4.2588	-10.1804	-1.7466	-11.9389	5.1596	48.8407	0.0440	0.8698	0.0000	0.0001	
True	5~35	on	none	all4	False	False	36769	882	46	-0.0834	-0.1294	0.0461	-0.0679	0.0055	0.1901	0.8500	0.5217	-4.1434	-10.1021	-1.6878		6.2286		0.0477	0.8240	0.0000		
